CNPJ_Emissora,Codigo_Identificacao_Certificado,Companhia_Emissora,Tipo_Lastro,Detalhamento_Lastro,Numero_Emissao,Nome_Emissao,Data_Emissao,_tipo_certificado
08.769.451/0001-08,BRIMWLCRIO95,VIRGO COMPANHIA DE SECURITIZACAO,Título de Dívida,Nota Comercial,257.0,ESTR GRUPO SALAS,2025-07-21,CRI
08.769.451/0001-08,BRIMWLCRIPA1,VIRGO COMPANHIA DE SECURITIZACAO,Título de Dívida,Aluguel,301.0,PULV PROJETO DUNA,2026-01-27,CRI
09.304.427/0001-58,25F7201183,HABITASEC SECURITIZADORA S.A.,Créditos,Nota Comercial,88.0,Abecker Kasulke,2025-06-06,CRI
09.304.427/0001-58,BRHBSCCRI7Z4,HABITASEC SECURITIZADORA S.A.,Créditos,Debêntures/ Contrato de Locação,1.0,Aura Campo Belo,2022-01-18,CRI
26.609.050/0001-64,BRTSSACRI5C6,Travessia Securitizadora S.A,Título de Dívida,Nota Comercial,81.0,Hirota,2026-01-23,CRI
35.082.277/0001-95,BRBASECRI008,BASE SECURITIZADORA S.A.,Créditos,Imobiliário - Residencial,1.0,1ª Emissão de CRI da BASE SECURITIZADORA S.A.,2021-05-17,CRI
35.082.277/0001-95,BRBASECRI0A7,BASE SECURITIZADORA S.A.,Título de Dívida,Imobiliário - Residencial,1.0,1ª Emissão de CRI da BASE SECURITIZADORA S.A.,2021-10-13,CRI
35.082.277/0001-95,BRBASECRI0K6,BASE SECURITIZADORA S.A.,Título de Dívida,Imobiliário - Hotel,1.0,1ª Emissão de CRI da BASE SECURITIZADORA S.A.,2022-01-03,CRI
35.082.277/0001-95,BRBASECRI0V3,BASE SECURITIZADORA S.A.,Créditos,Imobiliário - Hotel,4.0,4ª Emissão de CRI da BASE SECURITIZADORA S.A.,2023-06-29,CRI
35.082.277/0001-95,BRBASECRI0X9,BASE SECURITIZADORA S.A.,Créditos,Imobiliário - Residencial,3.0,3ª Emissão de CRI da BASE SECURITIZADORA S.A.,2023-08-07,CRI
35.082.277/0001-95,BRBASECRI115,BASE SECURITIZADORA S.A.,Créditos,Imobiliário - Residencial,5.0,5ª Emissão de CRI da BASE SECURITIZADORA S.A.,2023-09-20,CRI
35.082.277/0001-95,BRBASECRI131,BASE SECURITIZADORA S.A.,Título de Dívida,Imobiliário - Arrendamento,6.0,6ª Emissão de CRI da BASE SECURITIZADORA S.A.,2023-11-24,CRI
35.082.277/0001-95,BRBASECRI172,BASE SECURITIZADORA S.A.,Título de Dívida,Imobiliário - Residencial,8.0,8ª Emissão de CRI da BASE SECURITIZADORA S.A.,2024-02-26,CRI
35.082.277/0001-95,BRBASECRI198,BASE SECURITIZADORA S.A.,Título de Dívida,Imobiliário - Residencial,9.0,9ª Emissão de CRI da BASE SECURITIZADORA S.A.,2024-05-31,CRI
35.082.277/0001-95,BRBASECRI1B3,BASE SECURITIZADORA S.A.,Créditos,Imobiliário - Residencial,10.0,10ª Emissão de CRI da BASE SECURITIZADORA S.A.,2024-06-28,CRI
41.811.375/0001-19,22C1024589,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,CÉDULA DE CRÉDITO BANCÁRIO,1.0,CRI ARQUIPLAN,2022-03-14,CRI
41.811.375/0001-19,22G1162067,CANAL COMPANHIA DE SECURITIZAÇÃO,Créditos,HÍBRIDO,6.0,CRI YBY,2022-07-26,CRI
41.811.375/0001-19,22K0700672,CANAL COMPANHIA DE SECURITIZAÇÃO,Créditos,Cédula de Credito Bancário,15.0,CRI COLMEIA,2022-11-04,CRI
41.811.375/0001-19,23A0297064,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Nota Comercial,27.0,CRI WTLOG,2023-01-06,CRI
41.811.375/0001-19,23A1772203,CANAL COMPANHIA DE SECURITIZAÇÃO,Créditos,Contrato de Locação,29.0,CRI SUSTEM,2023-01-24,CRI
41.811.375/0001-19,23B1476702,CANAL COMPANHIA DE SECURITIZAÇÃO,Título de Dívida,Nota Comercial,36.0,CRI SOCICAM,2023-02-27,CRI
